Carimbo de data/hora,Eu acho que gostaria de usar esse sistema com frequência.,Eu acho o sistema desnecessariamente complexo.,Eu acho o sistema fácil de usar,Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar o sistema.,Eu acho que as várias funções do sistema estão muito bem integradas.,Eu acho que o sistema apresenta muita inconsistência,Eu imagino que as pessoas aprenderão como usar esse sistema rapidamente.,Eu acho o sistema atrapalhado de usar.,Eu me senti confiante ao usar o sistema.,Eu precisei aprender várias coisas novas antes de conseguir usar o sistema.
06/09/2023 14:22:40,1,2,4,1,5,1,5,1,5,1
06/09/2023 14:30:19,1,1,5,1,3,1,5,1,5,1
06/09/2023 14:35:12,4,1,5,2,4,1,4,2,5,1
14/09/2023 11:20:17,2,1,5,1,5,1,5,1,4,1
15/09/2023 08:56:59,5,1,5,1,5,1,5,1,5,1
15/09/2023 08:57:59,3,2,4,1,4,2,3,2,5,2
15/09/2023 08:58:55,4,2,4,1,2,1,5,2,4,1
15/09/2023 08:59:32,3,1,4,1,5,1,5,1,3,1
15/09/2023 08:59:38,3,2,4,1,4,3,4,2,4,4
15/09/2023 08:59:43,4,2,4,3,4,1,4,1,3,1
15/09/2023 08:59:56,4,2,3,3,4,2,3,2,4,4
15/09/2023 08:59:58,4,1,5,1,5,1,5,1,5,1
15/09/2023 09:00:05,5,1,5,1,5,1,5,1,5,1
15/09/2023 09:00:51,3,1,3,4,3,2,3,3,4,1
15/09/2023 09:01:48,5,1,5,1,4,1,5,1,5,1
15/09/2023 09:01:51,5,1,5,3,3,1,3,4,2,3
15/09/2023 09:02:39,4,1,5,2,5,2,5,1,4,1
15/09/2023 09:02:46,5,1,5,1,5,1,5,1,5,1
15/09/2023 09:02:51,4,2,4,2,3,2,4,1,3,1
15/09/2023 09:05:44,4,2,4,3,4,4,4,2,2,3
15/09/2023 09:14:19,3,4,5,2,5,2,5,2,5,1
15/09/2023 10:44:55,3,3,4,4,3,3,4,2,3,4
15/09/2023 10:45:08,5,1,5,2,5,1,2,1,4,1
15/09/2023 10:45:57,4,1,5,2,4,1,5,1,5,1
15/09/2023 10:46:06,4,1,5,1,5,2,4,1,5,2
15/09/2023 10:46:11,4,1,3,5,4,3,3,3,3,3
15/09/2023 10:46:28,5,2,5,1,5,5,5,5,5,5
15/09/2023 10:46:40,5,3,4,3,4,2,4,2,4,1
15/09/2023 10:46:41,5,1,5,1,5,1,5,1,5,1
15/09/2023 10:46:41,1,2,3,4,3,4,3,3,2,1
15/09/2023 10:46:43,4,1,4,1,3,3,4,1,4,1
15/09/2023 10:46:45,5,1,5,1,4,3,5,1,4,1
15/09/2023 10:46:49,4,2,5,1,3,4,4,2,4,4
15/09/2023 10:46:57,4,1,5,1,5,1,5,1,5,1
15/09/2023 10:47:11,5,1,3,1,4,1,3,1,4,1
15/09/2023 10:47:32,4,1,5,2,5,2,5,1,5,1
15/09/2023 10:48:18,3,3,3,1,2,1,3,4,3,1
15/09/2023 10:48:21,3,1,5,1,5,1,5,1,5,1
15/09/2023 10:48:37,4,1,4,1,4,4,5,2,5,1
15/09/2023 10:48:37,3,3,5,1,3,2,5,2,3,1
15/09/2023 10:48:43,4,1,5,1,3,2,4,1,5,1
15/09/2023 10:48:44,4,1,4,2,4,1,5,2,4,1
15/09/2023 10:49:01,5,1,5,1,4,3,5,3,4,2
15/09/2023 10:49:24,4,1,5,1,5,1,5,1,5,1
15/09/2023 10:49:32,3,2,4,1,4,2,5,2,4,1
15/09/2023 10:49:33,3,2,3,4,4,3,2,2,3,1
15/09/2023 10:51:18,4,1,5,1,5,2,5,1,5,1
15/09/2023 10:51:19,5,1,5,1,3,2,5,1,5,1
15/09/2023 10:51:22,4,1,5,1,4,2,5,1,5,1
15/09/2023 10:53:22,5,1,5,1,5,1,5,1,5,1
15/09/2023 10:53:35,4,1,4,2,4,1,4,2,3,1
15/09/2023 12:26:54,4,1,4,2,4,1,5,2,4,1
15/09/2023 13:55:09,3,1,3,4,3,2,3,3,4,1
